1, 0.545, -0.88, 0.3, 0, 0.39234, 0
1, 0.69, -0.88, 0.24, 0, 0.39234, 0
1, 0.835, -0.88, 0.18, 0, 0.39234, 0
2, 0.4, -0.88, 0.6, 0, 0.691337, 0
2, 0.835, -0.88, 0.24, 0, 0.691337, 0
3, 0.4, -0.88, 0.84, 0, 0.892677, 0
3, 0.835, -0.88, 0.3, 0, 0.892677, 0
4, 0.4, -0.88, 1.08, 0, 1.02732, 0
4, 0.545, -0.88, 0.84, 0, 1.02732, 0
4, 0.69, -0.88, 0.6, 0, 1.02732, 0
4, 0.835, -0.88, 0.36, 0, 1.02732, 0
5, 0.4, -0.88, 1.32, 0, 1.12057, 0
5, 0.545, -0.88, 1.02, 0, 1.12057, 0
5, 0.69, -0.88, 0.72, 0, 1.12057, 0
5, 0.835, -0.88, 0.42, 0, 1.12057, 0
6, 0.4, -0.64, 0.12, -0.39234, 0, 0
6, 0.545, -0.7, 0.12, -0.39234, 0, 0
6, 0.69, -0.76, 0.12, -0.39234, 0, 0
6, 0.835, -0.82, 0.12, -0.39234, 0, 0
7, 0.4, -0.64, 0.36, -0.193202, 0.374476, -0.0367136
7, 0.545, -0.7, 0.3, -0.193202, 0.374476, -0.0367136
7, 0.69, -0.76, 0.24, -0.193202, 0.374476, -0.0367136
7, 0.835, -0.82, 0.18, -0.193202, 0.374476, -0.0367136
8, 0.835, -0.82, 0.24, -0.251149, 0.664377, -0.0870426
9, 0.4, -0.64, 0.84, -0.314934, 0.861978, -0.145763
9, 0.835, -0.82, 0.3, -0.314934, 0.861978, -0.145763
10, 0.4, -0.64, 1.08, -0.35318, 0.996359, -0.193525
10, 0.545, -0.7, 0.84, -0.35318, 0.996359, -0.193525
10, 0.69, -0.76, 0.6, -0.35318, 0.996359, -0.193525
10, 0.835, -0.82, 0.36, -0.35318, 0.996359, -0.193525
11, 0.4, -0.64, 1.32, -0.372169, 1.09132, -0.227619
11, 0.545, -0.7, 1.02, -0.372169, 1.09132, -0.227619
11, 0.69, -0.76, 0.72, -0.372169, 1.09132, -0.227619
11, 0.835, -0.82, 0.42, -0.372169, 1.09132, -0.227619
12, 0.4, -0.4, 0.12, -0.691337, 0, 0
12, 0.545, -0.52, 0.12, -0.691337, 0, 0
12, 0.69, -0.64, 0.12, -0.691337, 0, 0
12, 0.835, -0.76, 0.12, -0.691337, 0, 0
13, 0.4, -0.4, 0.36, -0.601174, 0.310607, -0.0969873
13, 0.545, -0.52, 0.3, -0.601174, 0.310607, -0.0969873
13, 0.69, -0.64, 0.24, -0.601174, 0.310607, -0.0969873
